ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (lbs),Length (in),Width (in),Height (in),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Meta: _wpm_gtin_code,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global
426,variation,PDCWSRT45A,"Pearl Slimcut SRT Thin Cut -Off WheelType-27 - 4-1/2"" x .045 x 7/8""",1,0,visible,,<p>Sold In Quantities of 25</p>,,,taxable,,1,,,0,0,2,,,,0,,,129.0000,,,,http://localhost:8000/wp-content/uploads/2019/10/PearlSlimcutSRTThinCut-OffWheelType-27.jpg,,,Pearl Slimcut SRT Thin Cut -Off WheelType-27,,,,,,0,DCWSRT45A,Wheel Size,"4-1/2"" x .045 x 7/8""",,0,,,,,,,,
427,variation,PDCWSRT06A,"Pearl Slimcut SRT Thin Cut -Off WheelType-27 - 6"" x .045 x 7/8""",1,0,visible,,<p>Sold In Quantities of 25</p>,,,taxable,,1,,,0,0,3,,,,0,,,206.5000,,,,http://localhost:8000/wp-content/uploads/2019/10/PearlSlimcutSRTThinCut-OffWheelType-27.jpg,,,Pearl Slimcut SRT Thin Cut -Off WheelType-27,,,,,,0,DCWSRT06A,Wheel Size,"6"" x .045 x 7/8""",,0,,,,,,,,
428,variation,PCW14GSR,"High Speed Gas Saw Cut-Off Blades For Metal-Best (SRT) - 14"" x 1/8"" x 1""",1,0,visible,,<p>Sold In Quantities of 10</p>,,,taxable,,1,,,0,0,20,,,,0,,,204.6000,,,,http://localhost:8000/wp-content/uploads/2019/10/HighSpeedGasSawCut-OffBladesForMetal-BestSRT.jpg,,,High Speed Gas Saw Cut-Off Blades For Metal-Best (SRT),,,,,,0,CW14GSR,Wheel &amp; Arbor Size,"14"" x 1/8"" x 1""",,0,,,,,,,,
429,variation,PCW142GSR,"High Speed Gas Saw Cut-Off Blades For Metal-Best (SRT) - 14"" x 1/8"" x 20mm",1,0,visible,,<p>Sold In Quantities of 10</p>,,,taxable,,1,,,0,0,20,,,,0,,,204.6000,,,,http://localhost:8000/wp-content/uploads/2019/10/HighSpeedGasSawCut-OffBladesForMetal-BestSRT.jpg,,,High Speed Gas Saw Cut-Off Blades For Metal-Best (SRT),,,,,,0,CW142GSR,Wheel &amp; Arbor Size,"14"" x 1/8"" x 20mm",,0,,,,,,,,
430,variation,PCW12GSR,"High Speed Gas Saw Cut-Off Blades For Metal-Best (SRT) - 12"" x 1/8"" x 1""",1,0,visible,,<p>Sold In Quantities of 10</p>,,,taxable,,1,,,0,0,14,,,,0,,,170.0000,,,,http://localhost:8000/wp-content/uploads/2019/10/HighSpeedGasSawCut-OffBladesForMetal-BestSRT.jpg,,,High Speed Gas Saw Cut-Off Blades For Metal-Best (SRT),,,,,,0,CW12GSR,Wheel &amp; Arbor Size,"12"" x 1/8"" x 1""",,0,,,,,,,,
431,variation,PCW122GSR,"High Speed Gas Saw Cut-Off Blades For Metal-Best (SRT) - 12"" x 1/8"" x 20mm",1,0,visible,,<p>Sold In Quantities of 10</p>,,,taxable,,1,,,0,0,14,,,,0,,,170.0000,,,,http://localhost:8000/wp-content/uploads/2019/10/HighSpeedGasSawCut-OffBladesForMetal-BestSRT.jpg,,,High Speed Gas Saw Cut-Off Blades For Metal-Best (SRT),,,,,,0,CW122GSR,Wheel &amp; Arbor Size,"12"" x 1/8"" x 20mm",,0,,,,,,,,
432,variation,PCM1220,"High Speed Gas Saw Blade For Concrete - 12"" x 1/8"" x 1""",1,0,visible,,<p>Sold In Quantities of 10</p>,,,taxable,,1,,,0,0,14,,,,0,,,82.6000,,,,http://localhost:8000/wp-content/uploads/2019/10/HighSpeedGasSawBladeForConcrete.jpg,,,High Speed Gas Saw Blade For Concrete,,,,,,0,CM1220,Wheel &amp; Arbor Size,"12"" x 1/8"" x 1""",,0,,,,,,,,
433,variation,PCM1222,"High Speed Gas Saw Blade For Concrete - 12"" x 1/8"" x20mm",1,0,visible,,<p>Sold In Quantities of 10</p>,,,taxable,,1,,,0,0,14,,,,0,,,82.6000,,,,http://localhost:8000/wp-content/uploads/2019/10/HighSpeedGasSawBladeForConcrete.jpg,,,High Speed Gas Saw Blade For Concrete,,,,,,0,CM1222,Wheel &amp; Arbor Size,"12"" x 1/8"" x20mm",,0,,,,,,,,
434,variation,PCM1420A,"High Speed Gas Saw Blade For Concrete - 14"" x 1/8"" x 1""",1,0,visible,,<p>Sold In Quantities of 10</p>,,,taxable,,1,,,0,0,20,,,,0,,,118.6000,,,,http://localhost:8000/wp-content/uploads/2019/10/HighSpeedGasSawBladeForConcrete.jpg,,,High Speed Gas Saw Blade For Concrete,,,,,,0,CM1420A,Wheel &amp; Arbor Size,"14"" x 1/8"" x 1""",,0,,,,,,,,
435,variation,PCM1422A,"High Speed Gas Saw Blade For Concrete - 14"" x 1/8"" x 20mm",1,0,visible,,<p>Sold In Quantities of 10</p>,,,taxable,,1,,,0,0,20,,,,0,,,118.6000,,,,http://localhost:8000/wp-content/uploads/2019/10/HighSpeedGasSawBladeForConcrete.jpg,,,High Speed Gas Saw Blade For Concrete,,,,,,0,CM1422A,Wheel &amp; Arbor Size,"14"" x 1/8"" x 20mm",,0,,,,,,,,
436,variation,ARC71-10914HE,"PREDATOR Hard Edge Trimmable Nyon Flap Disc x 5/8""-11 - 40 Grit",1,0,visible,,<p>Sold In Quantities of 10</p>,,,taxable,,1,,,0,0,3,,,,0,,,63.7000,,,,http://localhost:8000/wp-content/uploads/2019/10/PREDATORHardEdgeTrimmableNyonFlapDiscx58-11.jpg,,,"PREDATOR Hard Edge Trimmable Nyon Flap Disc x 5/8""-11",,,,,,0,71-10914HE,Grit,40 Grit,,0,,,,,,,,
437,variation,ARC71-10915HE,"PREDATOR Hard Edge Trimmable Nyon Flap Disc x 5/8""-11 - 60 Grit",1,0,visible,,<p>Sold In Quantities of 10</p>,,,taxable,,1,,,0,0,3,,,,0,,,63.7000,,,,http://localhost:8000/wp-content/uploads/2019/10/PREDATORHardEdgeTrimmableNyonFlapDiscx58-11.jpg,,,"PREDATOR Hard Edge Trimmable Nyon Flap Disc x 5/8""-11",,,,,,0,71-10915HE,Grit,60 Grit,,0,,,,,,,,
438,variation,ARC71-10916HE,"PREDATOR Hard Edge Trimmable Nyon Flap Disc x 5/8""-11 - 80 Grit",1,0,visible,,<p>Sold In Quantities of 10</p>,,,taxable,,1,,,0,0,3,,,,0,,,63.7000,,,,http://localhost:8000/wp-content/uploads/2019/10/PREDATORHardEdgeTrimmableNyonFlapDiscx58-11.jpg,,,"PREDATOR Hard Edge Trimmable Nyon Flap Disc x 5/8""-11",,,,,,0,71-10916HE,Grit,80 Grit,,0,,,,,,,,
439,variation,WS-18-342316,"Weld Stud 3/4"" Shear Connector - 3/4"" x 2-3/16""",1,0,visible,,<p>Sold In Quantities of 200</p>,,,taxable,,1,,,0,0,71,,,,0,,,180.0000,,,,http://localhost:8000/wp-content/uploads/2019/10/WeldStud34ShearConnector.jpg,,,"Weld Stud 3/4"" Shear Connector",,,,,,0,,Length,"3/4"" x 2-3/16""",,0,,,,,,,,
440,variation,WS-18-343316,"Weld Stud 3/4"" Shear Connector - 3/4"" x 3-3/16""",1,0,visible,,<p>Sold In Quantities of 125</p>,,,taxable,,1,,,0,0,60,,,,0,,,170.0000,,,,http://localhost:8000/wp-content/uploads/2019/10/WeldStud34ShearConnector.jpg,,,"Weld Stud 3/4"" Shear Connector",,,,,,0,,Length,"3/4"" x 3-3/16""",,0,,,,,,,,
441,variation,WS-18-344316,"Weld Stud 3/4"" Shear Connector - 3/4"" x 4-3/16""",1,0,visible,,<p>Sold In Quantities of 100</p>,,,taxable,,1,,,0,0,62,,,,0,,,134.0000,,,,http://localhost:8000/wp-content/uploads/2019/10/WeldStud34ShearConnector.jpg,,,"Weld Stud 3/4"" Shear Connector",,,,,,0,,Length,"3/4"" x 4-3/16""",,0,,,,,,,,
442,variation,WS-18-345316,"Weld Stud 3/4"" Shear Connector - 3/4"" x 5-3/16""",1,0,visible,,<p>Sold In Quantities of 60</p>,,,taxable,,1,,,0,0,44,,,,0,,,87.6000,,,,http://localhost:8000/wp-content/uploads/2019/10/WeldStud34ShearConnector.jpg,,,"Weld Stud 3/4"" Shear Connector",,,,,,0,,Length,"3/4"" x 5-3/16""",,0,,,,,,,,
443,variation,WS-18-346316,"Weld Stud 3/4"" Shear Connector - 3/4"" x 6-3/16""",1,0,visible,,<p>Sold In Quantities of 60</p>,,,taxable,,1,,,0,0,50,,,,0,,,103.2000,,,,http://localhost:8000/wp-content/uploads/2019/10/WeldStud34ShearConnector.jpg,,,"Weld Stud 3/4"" Shear Connector",,,,,,0,,Length,"3/4"" x 6-3/16""",,0,,,,,,,,
444,variation,WS-18-347316,"Weld Stud 3/4"" Shear Connector - 3/4"" x 7-3/16""",1,0,visible,,<p>Sold In Quantities of 60</p>,,,taxable,,1,,,0,0,59,,,,0,,,145.2000,,,,http://localhost:8000/wp-content/uploads/2019/10/WeldStud34ShearConnector.jpg,,,"Weld Stud 3/4"" Shear Connector",,,,,,0,,Length,"3/4"" x 7-3/16""",,0,,,,,,,,
445,variation,WS-18-348316,"Weld Stud 3/4"" Shear Connector - 3/4"" x 8-3/16""",1,0,visible,,<p>Sold In Quantities of 50</p>,,,taxable,,1,,,0,0,56,,,,0,,,119.0000,,,,http://localhost:8000/wp-content/uploads/2019/10/WeldStud34ShearConnector.jpg,,,"Weld Stud 3/4"" Shear Connector",,,,,,0,,Length,"3/4"" x 8-3/16""",,0,,,,,,,,
446,variation,WS-18-349316,"Weld Stud 3/4"" Shear Connector - 3/4"" x 9-3/16""",1,0,visible,,<p>Sold In Quantities of 100</p>,,,taxable,,1,,,0,0,126,,,,0,,,314.0000,,,,http://localhost:8000/wp-content/uploads/2019/10/WeldStud34ShearConnector.jpg,,,"Weld Stud 3/4"" Shear Connector",,,,,,0,,Length,"3/4"" x 9-3/16""",,0,,,,,,,,
447,variation,WS-18-349100,"Weld Stud 3/4"" Shear Connector - 3/4"" x 10-3/16""",1,0,visible,,<p>Sold In Quantities of 100</p>,,,taxable,,1,,,0,0,137,,,,0,,,318.0000,,,,http://localhost:8000/wp-content/uploads/2019/10/WeldStud34ShearConnector.jpg,,,"Weld Stud 3/4"" Shear Connector",,,,,,0,,Length,"3/4"" x 10-3/16""",,0,,,,,,,,
448,variation,DIA-10-14-SET,"Drop In Anchor Setting Tool - 1/4""",1,0,visible,,<p>Sold Individually</p>,,,taxable,,1,,,0,0,1,,,,0,,,1.9400,,,,http://localhost:8000/wp-content/uploads/2019/10/DropInAnchorSettingTool.jpg,,,Drop In Anchor Setting Tool,,,,,,0,,Tool Size,"1/4""",,0,,,,,,,,
449,variation,DIA-12-38-SET,"Drop In Anchor Setting Tool - 3/8""",1,0,visible,,<p>Sold Individually</p>,,,taxable,,1,,,0,0,1,,,,0,,,3.2200,,,,http://localhost:8000/wp-content/uploads/2019/10/DropInAnchorSettingTool.jpg,,,Drop In Anchor Setting Tool,,,,,,0,,Tool Size,"3/8""",,0,,,,,,,,
450,variation,DIA-14-12-SET,"Drop In Anchor Setting Tool - 1/2""",1,0,visible,,<p>Sold Individually</p>,,,taxable,,1,,,0,0,1,,,,0,,,3.8600,,,,http://localhost:8000/wp-content/uploads/2019/10/DropInAnchorSettingTool.jpg,,,Drop In Anchor Setting Tool,,,,,,0,,Tool Size,"1/2""",,0,,,,,,,,
451,variation,DIA-16-58-SET,"Drop In Anchor Setting Tool - 5/8""",1,0,visible,,<p>Sold Individually</p>,,,taxable,,1,,,0,0,1,,,,0,,,4.5000,,,,http://localhost:8000/wp-content/uploads/2019/10/DropInAnchorSettingTool.jpg,,,Drop In Anchor Setting Tool,,,,,,0,,Tool Size,"5/8""",,0,,,,,,,,
452,variation,DIA-18-34-SET,"Drop In Anchor Setting Tool - 3/4""",1,0,visible,,<p>Sold Individually</p>,,,taxable,,1,,,0,0,1,,,,0,,,5.1400,,,,http://localhost:8000/wp-content/uploads/2019/10/DropInAnchorSettingTool.jpg,,,Drop In Anchor Setting Tool,,,,,,0,,Tool Size,"3/4""",,0,,,,,,,,
453,variation,BB-11-TWS-3125-400,"Thin Wall (TW) Bolt Zinc Yellow - 5/16"" Phillips Head",1,0,visible,,<p>Sold Individually</p>,,,taxable,,1,,,0,0,0.02625,,,,0,,,2.1300,,,,http://localhost:8000/wp-content/uploads/2019/10/ThinWallTWBoltZincYellow.jpg,,,Thin Wall (TW) Bolt Zinc Yellow,,,,,,0,TWS-3125-400,Select Diameter,"5/16"" Phillips Head",,0,,,,,,,,
454,variation,BB-17-TWS-6875-400,"Thin Wall (TW) Bolt Zinc Yellow - 11/16"" Hex Head",1,0,visible,,<p>Sold Individually</p>,,,taxable,,1,,,0,0,0.16625,,,,0,,,5.6300,,,,http://localhost:8000/wp-content/uploads/2019/10/ThinWallTWBoltZincYellow.jpg,,,Thin Wall (TW) Bolt Zinc Yellow,,,,,,0,TWS-6875-400,Select Diameter,"11/16"" Hex Head",,0,,,,,,,,
