ID,Type,Name,SKU,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (lbs),Length (in),Width (in),Height (in),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Meta: _wpm_gtin_code,Parent,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global
,simple,PTX Eco Smart Surface Finisher (Linear Grinder),PTX47002A,1,0,visible,<p>Manufacturer: CS Unitec</p>,"<span style=""font-size: large;"">PTX Eco Smart is a multi-functional grinding and polishing<br /> system for flat surfaces and open or closed pipe<br /> constructions. It grinds from coarse to very fine finishes and<br /> burnishes to a high-gloss finish. It enhances stainless steel,<br /> steel and nonferrous metals including aluminum, brass,<br /> bronze and copper, as well as wood and rigid plastic.</span>",,,taxable,,1,,,0,0,12.0,,,,1,,,795.0000,PTX ECO Smart > Tools and Kits,,,http://localhost:8000/wp-content/uploads/2019/10/PTXEcoSmartSurfaceFinisherLinearGrinder.jpg,,,,,,,,0,47002A,,,,,,,,,,,,,
,simple,PTX Eco Smart Surface Finisher (Linear Grinder) Basic Kit,PTX47003A,1,0,visible,<p>Manufacturer: CS Unitec</p>,"<span style=""font-family: arial,helvetica,sans-serif; font-size: large;"">PTX Basic Kit Includes</span><br /> <br /><span style=""font-family: arial,helvetica,sans-serif; font-size: large;""> 1 PTX Eco Smart machine, 12.27 Amp, 110 V</span><br /><span style=""font-family: arial,helvetica,sans-serif; font-size: large;""> 1 Carrying Case (P/N 40008)</span><br /><span style=""font-family: arial,helvetica,sans-serif; font-size: large;""> 1 60 grit flap wheel, 4"" x 4-1/4"" (P/N 47212)</span><br /><span style=""font-family: arial,helvetica,sans-serif; font-size: large;""> 1 80 grit interleaf (combi) wheel, 4"" x 4-1/4"" (P/N 47312)</span><br /><span style=""font-family: arial,helvetica,sans-serif; font-size: large;""> 1 Expansion roller, 3-1/2"" x 4"" (P/N 47005)</span><br /><span style=""font-family: arial,helvetica,sans-serif; font-size: large;""> 1 Medium fleece (Nonwoven) sleeve, 3-1/2"" x 4"" (P/N 42011)</span><br /><span style=""font-family: arial,helvetica,sans-serif; font-size: large;""> 1 Belt driving roller (P/N 47006)</span><br /><span style=""font-family: arial,helvetica,sans-serif; font-size: large;""> 1 80 grit grinding belt, 1.2"" x 24"" (P/N 49080)</span><br /><span style=""font-family: arial,helvetica,sans-serif; font-size: large;""> 1 Medium fleece (Nonwoven) belt, 1.2"" x 26"" (P/N 49002)</span><br /><span style=""font-family: arial,helvetica,sans-serif; font-size: large;""> 1 40 grit grinding belt, 3.6&rdquo; x 4&rdquo; (P/N 42040)</span><br /><span style=""font-family: arial,helvetica,sans-serif; font-size: large;""> 1 60 grit grinding belt, 3.6&rdquo; x 4&rdquo; (P/N 42060)</span><br /><span style=""font-family: arial,helvetica,sans-serif; font-size: large;""> 1 80 grit grinding belt, 3.6&rdquo; x 4&rdquo; (P/N 42080)</span><br /><span style=""font-family: arial,helvetica,sans-serif; font-size: large;""> 1 120 grit grinding belt, 3.6&rdquo; x 4&rdquo; (P/N 42120)</span>",,,taxable,,1,,,0,0,22.0,,,,1,,,1130.0000,PTX ECO Smart > Tools and Kits,,,http://localhost:8000/wp-content/uploads/2019/10/PTXEcoSmartSurfaceFinisherLinearGrinderBasicKit.jpg,,,,,,,,0,47003A,,,,,,,,,,,,,
,simple,PTX Eco Smart Surface Finisher (Linear Grinder) Professional Kit,PTX47004A,1,0,visible,<p>Manufacturer: CS Unitec</p>,"<div><span style=""font-family: arial,helvetica,sans-serif; font-size: large;"">The PTX professional Kit Includes</span></div>
<div><span style=""font-family: arial,helvetica,sans-serif; font-size: large;"">&nbsp;</span></div>
<div>
<p align=""left""><span style=""font-family: arial,helvetica,sans-serif; font-size: large;"">1 PTX Eco Smart machine</span></p>
<p align=""left""><span style=""font-family: arial,helvetica,sans-serif; font-size: large;"">1 Professional Case (P/N 80002)</span></p>
<p align=""left""><span style=""font-family: arial,helvetica,sans-serif; font-size: large;"">1 40 grit flap wheel, 4"" x 4-1/4"" (P/N 47211)</span></p>
<p align=""left""><span style=""font-family: arial,helvetica,sans-serif; font-size: large;"">1 80 grit interleaf (combi) wheel, 4"" x 4-1/4"" (P/N 47312)</span></p>
<p align=""left""><span style=""font-family: arial,helvetica,sans-serif; font-size: large;"">1 Expansion roller, 3-1/2"" x 4"" (P/N 47005)</span></p>
<p align=""left""><span style=""font-family: arial,helvetica,sans-serif; font-size: large;"">2 80 grit grinding belt sleeve, 3-1/2"" x 4"" (P/N 42080)</span></p>
<p align=""left""><span style=""font-family: arial,helvetica,sans-serif; font-size: large;"">1 Fine fleece (Nonwoven) sleeve, 3-1/2"" x 4"" (P/N 42012)</span></p>
<p align=""left""><span style=""font-family: arial,helvetica,sans-serif; font-size: large;"">1 Medium fleece (Nonwoven) sleeve, 3-1/2"" x 4""</span></p>
<p align=""left""><span style=""font-family: arial,helvetica,sans-serif; font-size: large;"">(P/N 42011)</span></p>
<p align=""left""><span style=""font-family: arial,helvetica,sans-serif; font-size: large;"">2 A45 ""TZ"" Pyramid sleeves, 3-1/2"" x 4"" (P/N 42245)</span></p>
<p align=""left""><span style=""font-family: arial,helvetica,sans-serif; font-size: large;"">2 A30 ""TZ"" Pyramid sleeves, 3-1/2"" x 4"" (P/N 42230)</span></p>
<p align=""left""><span style=""font-family: arial,helvetica,sans-serif; font-size: large;"">2 A16 ""TZ"" Pyramid sleeves, 3-1/2"" x 4"" (P/N 42216)</span></p>
<p align=""left""><span style=""font-family: arial,helvetica,sans-serif; font-size: large;"">2 A06 ""TZ"" Pyramid sleeves, 3-1/2"" x 4"" (P/N 42206)</span></p>
<p align=""left""><span style=""font-family: arial,helvetica,sans-serif; font-size: large;"">3 SuperPolish sleeves, 3-1/2"" x 4"" (P/N 42013N)</span></p>
<p align=""left""><span style=""font-family: arial,helvetica,sans-serif; font-size: large;"">1 Belt driving roller (P/N 47006)</span></p>
<p align=""left""><span style=""font-family: arial,helvetica,sans-serif; font-size: large;"">2 80 grit grinding belts, 1.2"" x 24"" (P/N 49080)</span></p>
<p align=""left""><span style=""font-family: arial,helvetica,sans-serif; font-size: large;"">1 Medium fleece (Nonwoven) belt, 1.2"" x 26"" (P/N 49002)</span></p>
<p align=""left""><span style=""font-family: arial,helvetica,sans-serif; font-size: large;"">2 A45 ""TZ"" Pyramid belts, 1.2"" x 24"" (P/N 49345)</span></p>
<p align=""left""><span style=""font-family: arial,helvetica,sans-serif; font-size: large;"">2 A30 ""TZ"" Pyramid belts, 1.2"" x 24"" (P/N 49330)</span></p>
<p align=""left""><span style=""font-family: arial,helvetica,sans-serif; font-size: large;"">2 A16 ""TZ"" Pyramid belts, 1.2"" x 24"" (P/N 49316)</span></p>
<p align=""left""><span style=""font-family: arial,helvetica,sans-serif; font-size: large;"">2 A06 ""TZ"" Pyramid belts, 1.2"" x 24"" (P/N 49306)</span></p>
<p align=""left""><span style=""font-family: arial,helvetica,sans-serif; font-size: large;"">3 SuperPolish belts, 1.2"" x 26"" (P/N 49004N)</span></p>
<p align=""left""><span style=""font-family: arial,helvetica,sans-serif; font-size: large;"">1 Mini high gloss polishing paste, pink (P/N 40015T)</span></p>
<p align=""left""><span style=""font-family: arial,helvetica,sans-serif; font-size: large;"">2 Mini polishing pastes, white and blue [P/N 40013 (white)</span></p>
<p align=""left""><span style=""font-family: arial,helvetica,sans-serif; font-size: large;"">P/N 40014 (blue)]</span></p>
<p align=""left""><span style=""font-family: arial,helvetica,sans-serif; font-size: large;"">1 PTX lime spray can (P/N 40016)</span></p>
<p align=""left""><span style=""font-family: arial,helvetica,sans-serif; font-size: large;"">5 Microfiber cloths (P/N 40030)</span></p>
<p align=""left""><span style=""font-family: arial,helvetica,sans-serif; font-size: large;"">1 Brilliance clean spray bottle (P/N 40050)</span></p>
<p><span style=""font-family: arial,helvetica,sans-serif; font-size: large;"">1 INOX-protect spray bottle (P/N 40040)</span></p>
</div>",,,taxable,,1,,,0,0,46.0,,,,1,,,1617.0000,PTX ECO Smart > Tools and Kits,,,http://localhost:8000/wp-content/uploads/2019/10/PTXEcoSmartSurfaceFinisherLinearGrinderProfessionalKit.jpg,,,,,,,,0,47004A,,,,,,,,,,,,,
,simple,PTX Quick-Lock Power Cord,PTX52004-2,1,0,visible,<p>Manufacturer: CS Unitec</p>,"<p align=""left""><span style=""font-size: 14pt;"">QUICK-LOCK</span></p>
<p align=""left""><span style=""font-size: 14pt;"">cord for fast, easy</span></p>
<p align=""left""><span style=""font-size: 14pt;"">attachment and</span></p>
<p align=""left""><span style=""font-size: 14pt;"">replacement.</span></p>
<p><span style=""font-size: 14pt;"">(10 ft. length)</span></p>
<p>&nbsp;</p>",,,taxable,,1,,,0,0,0.0,,,,1,,,56.5500,PTX ECO Smart > Accessories,,,http://localhost:8000/wp-content/uploads/2019/10/PTXQuick-LockPowerCord.jpg,,,,,,,,0,52004-2,,,,,,,,,,,,,
,simple,PTX Basic Case,PTX40008,1,0,visible,<p>Manufacturer: CS Unitec</p>,"<p><span style=""font-size: large;"">Basic Case </span><span style=""font-size: 14pt; font-family: Helvetica;""><span style=""font-size: large;"">&ndash; solid case for storage and outdoor use</span> </span></p>
<p>&nbsp;</p>
<p>&nbsp;</p>
<p>&nbsp;</p>",,,taxable,,1,,,0,0,0.0,,,,1,,,74.5000,PTX ECO Smart > Accessories,,,http://localhost:8000/wp-content/uploads/2019/10/PTXBasicCase.jpg,,,,,,,,0,40008,,,,,,,,,,,,,
,simple,PTX Professional Case,PTX80002,1,0,visible,<p>Manufacturer: CS Unitec</p>,"<p align=""left""><span style=""font-size: large;"">Professional Case</span></p>
<p align=""left""><span style=""font-size: 14pt; font-family: Helvetica;"">&ndash; shock-resistant hard-top case with foam inlay; ideal for construction sites and outdoor work; lockable (includes 2 keys)</span></p>",,,taxable,,1,,,0,0,0.0,,,,1,,,175.7500,PTX ECO Smart > Accessories,,,http://localhost:8000/wp-content/uploads/2019/10/PTXProfessionalCase.jpg,,,,,,,,0,80002,,,,,,,,,,,,,
,simple,PTX Hollow-core Shaft Adaptor,PTX42004,1,0,visible,<p>Manufacturer: CS Unitec</p>,"<p align=""left""><span style=""font-family: arial,helvetica,sans-serif; font-size: large;"">Hollow-core Shaft Adapter</span></p>
<p align=""left""><span style=""font-family: arial,helvetica,sans-serif; font-size: large;"">(included with PTX Eco Smart and LP 1503 AIR) &ndash; f<i>its other surface finishing machines with a 3/4"" dia. x 4"" long shaft with 1/4"" keyway(s). </i></span></p>
<p><span style=""font-family: arial,helvetica,sans-serif; font-size: large;""><i>&nbsp;</i></span></p>
<p>&nbsp;</p>",,,taxable,,1,,,0,0,0.28,,,,1,,,67.5000,PTX ECO Smart > Accessories,,,http://localhost:8000/wp-content/uploads/2019/10/PTXHollow-coreShaftAdaptor.jpg,,,,,,,,0,42004,,,,,,,,,,,,,
,simple,PTX Expansion Roller,PTX47005,1,0,visible,<p>Manufacturer: CS Unitec</p>,"<div align=""left""><span style=""font-family: arial,helvetica,sans-serif; font-size: large;"">PTX Expansion Roller &ndash; use with sanding, fleece, ""TZ"" Pyramid, SuperPolish and felt sleeves</span></div>
<div align=""left""><span style=""font-family: arial,helvetica,sans-serif; font-size: large;"">The sleeves are simply pushed over the expansion roller and held securely in place by centrifugal force. Internal expansion slots now allow easier sleeve replacement and improved adjustment to the workpiece, as well as vibration absorption and concentricity.</span></div>
<div align=""left""><span style=""font-family: arial,helvetica,sans-serif; font-size: large;"">&nbsp;</span></div>
<div align=""left"">
<p><span style=""font-family: arial,helvetica,sans-serif; font-size: large;"">**Exact dimensions of belts shown below are 90mm dia. x 100mm wide.**</span></p>
</div>",,,taxable,,1,,,0,0,1.0,,,,1,,,102.5500,PTX ECO Smart > Accessories,,,http://localhost:8000/wp-content/uploads/2019/10/PTXExpansionRoller.jpg,,,,,,,,0,47005,,,,,,,,,,,,,
,simple,PIPE-MAX Electric Pipe Belt Grinder,PM38502A,1,0,visible,<p>Manufacturer: CS Unitec</p>,"<p><span style=""font-family: arial,helvetica,sans-serif; font-size: large;"">The PIPE-MAX is a combination grinder and pipe belt sander. The front hard rubber contact roller drives the abrasive belt to grind flat surfaces. It removes weld seams in a straight line, without leaving edges or a wavy finish.</span><br /><br /><span style=""font-family: arial,helvetica,sans-serif; font-size: large;"">For sanding pipes or handrails, it is a flexible tool. The sanding belt follows every contour to grind and polish up to a high-gloss finish. The belt wraps around the pipe and requires only a few steps to polish the entire circumference. It is ideal for stainless steel, aluminum and high-quality metals.</span><br /><br /><span style=""font-family: arial,helvetica,sans-serif; font-size: large;"">For sanding pipes from small to large diameter, up to 12""</span><br /><span style=""font-family: arial,helvetica,sans-serif; font-size: large;"">Grinds weld seams on flat surfaces &ndash; leaves no edges</span><br /><span style=""font-family: arial,helvetica,sans-serif; font-size: large;"">Powerful 14.5 Amp motor and variable-speed control from 950 to 3500 RPM</span><br /><span style=""font-family: arial,helvetica,sans-serif; font-size: large;"">Quick and easy tool-free changing of sanding belts</span><br /><span style=""font-family: arial,helvetica,sans-serif; font-size: large;"">Ideal for stainless steel and aluminum</span></p>
<p></p>
<iframe width=""560"" height=""315"" frameborder=""0"" allowfullscreen="""" src=""http://www.youtube.com/embed/69S65Zc3zPM""></iframe>",,,taxable,,1,,,0,0,11.25,,,,1,,,1022.0000,PIPE-MAX Belt Grinder,,,http://localhost:8000/wp-content/uploads/2019/10/PIPE-MAXElectricPipeBeltGrinder.jpg,,,,,,,,0,38502A,,,,,,,,,,,,,
,simple,"PTX Felt Sleeve 3-1/2"" x 4""",PTX42013,1,0,visible,<p>Manufacturer: CS Unitec</p>,"<span style=""font-size: large;"">4 Per Pack - PTX Felt Sleeve </span><br /><span style=""font-size: large;"">Made of soft merino (endless) for polishing large stainless steel and nonferrous surfaces quickly to a mirror finish. Also suitable for hard plastics. Must be used with the expansion roller.</span>",,,taxable,,1,,,0,0,0.375,,,,1,,,132.1500,PTX ECO Smart > Abrasives,,,http://localhost:8000/wp-content/uploads/2019/10/PTXFeltSleeve3-12x4.jpg,,,,,,,,0,42013,,,,,,,,,,,,,
